price,area,Bedrooms,Bathrooms,Balcony,neworold,parking,Furnished_status,Lift,type_of_building,Price_sqft,
5600000,1350,3,3,,New Property,,,2,Flat,4148.14814814815,
8800000,1490,3,3,,New Property,,Semi-Furnished,2,Flat,5906.04026845638,
16500000,2385,4,5,,New Property,1,Unfurnished,,Flat,6918.23899371069,
3810000,1050,2,2,3,New Property,1,Unfurnished,2,Flat,3628.57142857143,
6200000,1350,2,2,3,Resale,1,,3,Flat,4592.59259259259,
3700000,1150,2,2,3,New Property,,,,Flat,3217.39130434783,
3270000,890,2,2,3,Resale,1,,2,Flat,3674.15730337079,
3990000,850,2,2,1,Resale,1,,,Flat,4694.11764705882,
3500000,960,2,2,2,Resale,,,,Flat,3645.83333333333,
5500000,1400,3,3,4,Resale,1,,2,Flat,3928.57142857143,
7300000,850,3,2,1,New Property,2,Semi-Furnished,1,Flat,8588.23529411765,
7700000,1250,2,2,2,Resale,,,,Flat,6160,
10500000,1615,3,3,3,Resale,,Unfurnished,,Flat,6501.5479876161,
7200000,1200,2,2,3,Resale,,,,Flat,6000,
7000000,1690,3,3,,Resale,,,,Flat,4142.01183431953,
9500000,1000,3,2,1,New Property,2,Semi-Furnished,1,Individual House,9500,
15000000,1450,4,3,1,New Property,2,Semi-Furnished,1,Individual House,10344.8275862069,
4800000,1175,2,2,,Resale,,,,Flat,4085.10638297872,
5100000,1087,2,2,2,Resale,1,Semi-Furnished,2,Flat,4691.8123275069,
14000000,1845,3,3,3,Resale,2,Semi-Furnished,2,Flat,7588.07588075881,
6250000,1400,2,2,2,New Property,,,,Flat,4464.28571428571,
8700000,1600,3,2,1,Resale,,Unfurnished,,Flat,5437.5,
13000000,1950,3,3,2,Resale,,,,Individual House,6666.66666666667,
15000000,1800,2,3,1,New Property,,,,Flat,8333.33333333333,
5500000,1440,3,2,5,Resale,1,,2,Flat,3819.44444444444,
4200000,1040,2,2,3,Resale,2,,3,Flat,4038.46153846154,
3900000,1025,2,2,3,Resale,1,,2,Flat,3804.87804878049,
10000000,1836,3,2,,Resale,,Semi-Furnished,,Individual House,5446.62309368192,
7600000,1350,3,2,4,Resale,1,,3,Flat,5629.62962962963,
3900000,800,2,2,1,Resale,,,2,Flat,4875,
9000000,1481,2,2,2,Resale,2,Unfurnished,2,Flat,6076.97501688049,
8350000,1398,2,2,2,Resale,1,,3,Flat,5972.81831187411,
13500000,2150,3,3,4,Resale,1,,,Individual House,6279.06976744186,
5310000,1100,3,2,,Resale,,Furnished,,Flat,4827.27272727273,
15000000,1960,3,3,,Resale,,Semi-Furnished,,Flat,7653.0612244898,
17500000,2450,3,3,3,New Property,2,,2,Flat,7142.85714285714,
5000000,1000,2,2,3,Resale,1,,2,Flat,5000,
3500000,850,2,2,1,Resale,,Furnished,,Flat,4117.64705882353,
4550000,950,3,2,1,New Property,1,Semi-Furnished,1,Flat,4789.47368421053,
4000000,700,2,2,,Resale,,Unfurnished,,Flat,5714.28571428571,
3500000,750,2,2,2,Resale,,Semi-Furnished,0,Flat,4666.66666666667,
